t,V10,N10,m10,h10,V30,N30,m30,h30,V50,N50,m50,h50,V100,N100,m100,h100
12.1,2.503078461,0.392959608,0.066966016,0.466782117,85.51072317,0.617426939,0.928937378,0.170283346,6.170475694,0.718272274,0.44608673,0.065394408,7.302095195,0.612978478,0.104407637,0.135045365
12.2,2.689770995,0.3923088,0.068405249,0.467227088,82.42464416,0.642123065,0.958021726,0.154230821,1.849448759,0.711836716,0.338235393,0.07029621,7.789199966,0.609456602,0.109284647,0.137883514
12.3,2.875533346,0.391723726,0.069863402,0.467586818,78.00477354,0.663540623,0.972411394,0.139748471,-1.380760837,0.70470821,0.240379227,0.076395981,8.276107967,0.606134283,0.11447,0.140523024
12.4,3.060454673,0.391203251,0.071340891,0.467862155,73.01501673,0.681743673,0.97871628,0.126715721,-3.35541308,0.697176117,0.163904981,0.083386056,8.762814901,0.603009762,0.119940874,0.142965176
12.5,3.244634663,0.390746282,0.072838231,0.4680539,67.82581407,0.696976699,0.980153572,0.115031383,-4.333259536,0.689488132,0.111239956,0.090873389,9.249512974,0.60008129,0.125682588,0.145211125
12.6,3.428184078,0.390351764,0.074356048,0.468162805,62.63624738,0.709532416,0.978097977,0.104615619,-4.693745022,0.681808385,0.077960128,0.098539849,9.736587766,0.597347179,0.131686724,0.147261856
12.7,3.611225459,0.390018687,0.075895087,0.468189565,57.55273205,0.719699518,0.972935604,0.095410271,-4.721979146,0.674228283,0.05801192,0.106190442,10.22462138,0.594805857,0.137949965,0.149118139
12.8,3.793893993,0.389746089,0.077456229,0.468134817,52.62636603,0.727741517,0.96448298,0.087377668,-4.581565765,0.666793858,0.046484482,0.113722851,10.71440054,0.592455921,0.144473429,0.150780484
12.9,3.976338589,0.38953306,0.0790405,0.467999129,47.87381917,0.733889549,0.952185216,0.080497315,-4.355644453,0.659527095,0.040074532,0.12108741,11.20692953,0.590296202,0.15126237,0.152249087
13,4.158723193,0.389378745,0.080649093,0.467782999,43.28812025,0.738341357,0.935208748,0.074760137,-4.084516593,0.652438143,0.036732369,0.128260959,11.70344843,0.588325833,0.158326155,0.153523768
13.1,4.34122838,0.38928235,0.082283382,0.467486845,38.8416748,0.741262159,0.912481072,0.070161182,-3.787568235,0.645531476,0.03523058,0.135233094,12.20545801,0.586544328,0.16567847,0.154603901
13.2,4.5240533,0.389243147,0.083944947,0.467110994,34.4834604,0.74278493,0.882691471,0.066693646,-3.474273367,0.638808847,0.034845166,0.141999497,12.71475312,0.584951665,0.173337733,0.155488336
13.3,4.707418017,0.38926048,0.085635599,0.466655678,30.1333376,0.743009003,0.844244184,0.064348127,-3.149424559,0.632270691,0.035151454,0.148558791,13.23346703,0.583548397,0.181327693,0.156175293
13.4,4.891566339,0.38933377,0.087357412,0.466121019,25.67812216,0.741997431,0.795156591,0.063119555,-2.815584603,0.625916791,0.035900696,0.154911047,13.76413029,0.582335763,0.189678258,0.156662252
13.5,5.076769235,0.389462527,0.089112758,0.465507019,20.97783685,0.739775538,0.732948905,0.063021038,-2.474240637,0.619746599,0.036947202,0.161057078,14.30974806,0.581315836,0.198426572,0.156945803
13.6,5.263328968,0.389646354,0.090904351,0.464813541,15.90111885,0.736336403,0.654754501,0.064102036,-2.126354607,0.613759387,0.038205713,0.166998078,14.87390192,0.580491698,0.207618398,0.157021475
